experiment_id,well,timepoint,strain,strain_class,inducer_concentration,total_counts,flow_volume,cells/mL,predicted_output_mean,predicted_output_std,dead,od
r1dvbs8vu72tbp,e10,24.0,UWBF_25784,Control,0.0002,28531,60000,475516.66667,0.9976516771231292,0.04840341283314523,0.0,0.04202763365370346
r1dvbs8vu72tbp,e11,24.0,UWBF_25784,Control,0.0004,30000,56000,535714.2857100001,0.9970333333333332,0.05438716902322386,0.0,0.048473217745269005
r1dvbs8vu72tbp,e12,24.0,UWBF_25784,Control,0.0,6255,60000,104250.0,0.9974420463629096,0.05051552706708242,0.0,0.03706303985441894
r1dvbs8vu72tbp,e3,24.0,UWBF_25784,Control,4e-06,26232,60000,437200.0,0.9970265324794144,0.05444941718171306,0.0,0.0429026869029832
r1dvbs8vu72tbp,e4,24.0,UWBF_25784,Control,1e-05,800,60000,13333.33333,0.98125,0.13572569517380628,0.0,0.036138764426200835
r1dvbs8vu72tbp,e5,24.0,UWBF_25784,Control,2.5e-05,5134,60000,85566.66667,0.9955200623295676,0.06678874673732288,0.0,0.03707755359598068
r1dvbs8vu72tbp,e6,24.0,UWBF_25784,Control,4e-05,20906,60000,348433.33333,0.9984693389457572,0.03909464463017101,0.0,0.04030145994626565
r1dvbs8vu72tbp,e7,24.0,UWBF_25784,Control,5.9999999999999995e-05,14932,60000,248866.66666999998,0.9975890704527188,0.04904363412419418,0.0,0.04126414278405203
r1dvbs8vu72tbp,e8,24.0,UWBF_25784,Control,8e-05,30000,57000,526315.78947,0.9977333333333334,0.04755632739918091,0.0,0.04489128920996751
r1dvbs8vu72tbp,e9,24.0,UWBF_25784,Control,0.0001,30000,41000,731707.31707,0.9966333333333334,0.05792619502744769,0.0,0.04190047792963601
r1dvbs8vu72tbp,f3,24.0,UWBF_24962,Experiment,4e-06,30000,49000,612244.8979600001,0.9977666666666668,0.04720614193319315,1.0,0.04919885648979835
r1dvbs8vu72tbp,g1,24.0,UWBF_23970,Control,0.0,528,60000,8800.0,0.9772727272727272,0.1491740239638419,0.0,0.03550203877077195
r1dvbs8vu72tbp,g12,24.0,UWBF_24963,Experiment,0.0,26491,60000,441516.66667,0.9987542939111396,0.03527323733573348,1.0,0.044730893221343215
r1dvbs8vu72tbp,g3,24.0,UWBF_24963,Experiment,4e-06,30000,60000,500000.0,0.9979666666666668,0.045047380957238835,1.0,0.0485154423664747
r1dvbs8vu72tbp,g4,24.0,UWBF_24963,Experiment,1e-05,30000,54000,555555.55556,0.9975,0.049938293200418066,1.0,0.04805162097939555
r1dvbs8vu72tbp,g5,24.0,UWBF_24963,Experiment,2.5e-05,14717,60000,245283.33333000002,0.9987769246449684,0.03495228822263957,1.0,0.040015010896513686
r1dvbs8vu72tbp,g6,24.0,UWBF_24963,Experiment,4e-05,9188,60000,153133.33333,0.99782324771441,0.04660740775493229,1.0,0.03834491554983789
r1dvbs8vu72tbp,g8,18.0,UWBF_24963,Experiment,8e-05,129,60000,2150.0,0.8914728682170543,0.3122576579705297,1.0,0.03667717219548098
r1dvbs8vu72tbp,h1,18.0,UWBF_23970,Control,0.0,18,60000,300.0,0.7222222222222222,0.4608885989624768,0.0,0.0359742584354726
r1dvbs8vu72tbp,h10,24.0,UWBF_24961,Experiment,0.0002,18040,60000,300666.66667,0.996119733924612,0.062172533165286537,1.0,0.04202072194026285
r1dvbs8vu72tbp,h11,24.0,UWBF_24961,Experiment,0.0004,30000,53000,566037.73585,0.9939666666666668,0.07744115266850345,1.0,0.049503437202048216
r1dvbs8vu72tbp,h12,22.0,UWBF_24961,Experiment,0.0,1963,60000,32716.66667,0.9898115129903208,0.10044810472587618,0.0,0.05700068122348445
r1dvbs8vu72tbp,h3,24.0,UWBF_24961,Experiment,4e-06,2134,60000,35566.66667,0.9934395501405808,0.0807494016732622,1.0,0.034104052751440773
r1dvbs8vu72tbp,h4,24.0,UWBF_24961,Experiment,1e-05,5467,60000,91116.66667,0.9961587708066582,0.061864159266750686,1.0,0.036052128769530505
r1dvbs8vu72tbp,h5,24.0,UWBF_24961,Experiment,2.5e-05,16349,60000,272483.33333,0.9959630558443942,0.06341051315610813,1.0,0.041899717147528034
r1dvbs8vu72tbp,h6,24.0,UWBF_24961,Experiment,4e-05,29657,60000,494283.33333,0.9964932393701318,0.0591149819674876,1.0,0.0458612175124683
r1dvbs8vu72tbp,h7,24.0,UWBF_24961,Experiment,5.9999999999999995e-05,3810,60000,63500.0,0.9952755905511812,0.06858078355039984,1.0,0.034454144112439376
r1dvbs8vu72tbp,h8,24.0,UWBF_24961,Experiment,8e-05,30000,42000,714285.7142899998,0.9926666666666668,0.08532173354718055,0.0,0.054789891256987085
r1dvbs8vu72tbp,h9,24.0,UWBF_24961,Experiment,0.0001,30000,53000,566037.73585,0.9943666666666666,0.0748450774271497,1.0,0.04830217316078028
r1dvbsa7n5qwxe,e9,24.0,UWBF_25784,Control,0.0001,30000,51000,588235.29412,0.9960333333333332,0.06285748900769927,0.0,0.05639166881868779
r1dvbsa7n5qwxe,g1,24.0,UWBF_23970,Control,0.0,30000,34000,882352.94118,0.9953666666666666,0.06791184940444403,0.0,0.06284864620287217
r1dvbsa7n5qwxe,h1,24.0,UWBF_23970,Control,0.0,9148,60000,152466.66667,0.9942063839090513,0.07589914244362485,0.0,0.03978096812819973
