,experiment_id,well,cells_ml_mean,cells_ml_std
125,experiment.transcriptic.r1dvbs8vu72tbp,c7,430657.6754375001,765554.349856797
126,experiment.transcriptic.r1dvbs8vu72tbp,c8,550183.3333325001,760174.7643873341
127,experiment.transcriptic.r1dvbs8vu72tbp,c9,2388784.4611525,735041.4570305756
128,experiment.transcriptic.r1dvbs8vu72tbp,d1,581026.7857175,1041222.0396655438
129,experiment.transcriptic.r1dvbs8vu72tbp,d10,553791.6666675,885116.2051236825
130,experiment.transcriptic.r1dvbs8vu72tbp,d11,707377.2435900001,1073390.2966130318
131,experiment.transcriptic.r1dvbs8vu72tbp,d12,2251400.5602225,742990.268647723
132,experiment.transcriptic.r1dvbs8vu72tbp,d2,2570.833335,3693.37181490432
133,experiment.transcriptic.r1dvbs8vu72tbp,d3,204642.0454525,318262.3089134809
134,experiment.transcriptic.r1dvbs8vu72tbp,d4,526233.3333325,899261.6514556488
135,experiment.transcriptic.r1dvbs8vu72tbp,d5,660235.57692,1098790.8088256486
136,experiment.transcriptic.r1dvbs8vu72tbp,d6,106033.3333325,191923.3011376736
137,experiment.transcriptic.r1dvbs8vu72tbp,d7,890955.9523825,915312.5272838623
138,experiment.transcriptic.r1dvbs8vu72tbp,d8,708598.0769225,1068004.7566560954
139,experiment.transcriptic.r1dvbs8vu72tbp,d9,2326555.0239225,653110.0478467337
140,experiment.transcriptic.r1dvbs8vu72tbp,e1,470818.137255,862730.6546024366
141,experiment.transcriptic.r1dvbs8vu72tbp,e10,133037.5,228481.68472695997
142,experiment.transcriptic.r1dvbs8vu72tbp,e11,174024.40476,247234.29819002998
143,experiment.transcriptic.r1dvbs8vu72tbp,e12,30391.666665,49453.986283827144
144,experiment.transcriptic.r1dvbs8vu72tbp,e3,126454.1666675,208620.45076333254
145,experiment.transcriptic.r1dvbs8vu72tbp,e4,4395.8333299999995,6110.833958361712
146,experiment.transcriptic.r1dvbs8vu72tbp,e5,22700.0,41914.14726470757
147,experiment.transcriptic.r1dvbs8vu72tbp,e6,93762.5,169837.6705207736
148,experiment.transcriptic.r1dvbs8vu72tbp,e7,78108.33333499999,114026.46419700104
149,experiment.transcriptic.r1dvbs8vu72tbp,e8,153795.6140325,249234.67001887353
150,experiment.transcriptic.r1dvbs8vu72tbp,e9,239614.3292675,338700.7793253743
151,experiment.transcriptic.r1dvbs8vu72tbp,f1,480875.0000000001,790790.6215511094
152,experiment.transcriptic.r1dvbs8vu72tbp,f10,1109241.0087725,1140521.8221422841
153,experiment.transcriptic.r1dvbs8vu72tbp,f11,1084613.690475,1105956.145886599
154,experiment.transcriptic.r1dvbs8vu72tbp,f12,1549019.6078425,368919.3671016939
155,experiment.transcriptic.r1dvbs8vu72tbp,f3,185494.55782250004,284752.0146163491
156,experiment.transcriptic.r1dvbs8vu72tbp,f4,841611.3122175001,1046661.057881921
157,experiment.transcriptic.r1dvbs8vu72tbp,f5,1416783.333335,1251165.574942466
158,experiment.transcriptic.r1dvbs8vu72tbp,f6,756495.833335,1166756.9871674653
159,experiment.transcriptic.r1dvbs8vu72tbp,f7,2184065.934065,851385.7302466807
