,experiment,experiment_id,well,strain,lab,strain_name,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,temperature,temperature_unit,od,dead,ungrowing,doubling_time,n0,RF_prediction_mean,RF_prediction_std
25,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,c10,UWBF_24959,transcriptic,CRISPR_CEN.PK2_24959,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.365574837859427,False,False,0.9999999999955206,6.00662775580993e-22,0.9941666666666666,0.0010978092663050806
26,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,c11,UWBF_24959,transcriptic,CRISPR_CEN.PK2_24959,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3588359014515456,False,False,0.9999999999954322,6.124185953607627e-22,0.9932583333333334,0.0015314904384170873
27,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,c12,UWBF_24959,transcriptic,CRISPR_CEN.PK2_24959,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3793237722572187,False,False,0.9999999999957524,5.698066769107776e-22,0.996,0.0004578532839563918
28,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,c2,UWBF_24864,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.2793553710645509,False,False,0.9999999999968342,4.259131971402798e-22,0.9893603598140288,0.0038698114483058533
29,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,c3,UWBF_24959,transcriptic,CRISPR_CEN.PK2_24959,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3269217252247754,False,False,0.9999999999953896,6.1809253737499345e-22,0.9946333333333334,0.0005610836076867412
30,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,c4,UWBF_24959,transcriptic,CRISPR_CEN.PK2_24959,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3876653573005306,False,False,0.9999999999952236,6.401444939590611e-22,0.995325,0.0009239107701023523
31,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,c5,UWBF_24959,transcriptic,CRISPR_CEN.PK2_24959,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3442188387718432,False,False,0.9999999999952308,6.3922320539595885e-22,0.9951416666666668,0.00043322648255297717
32,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,c6,UWBF_24959,transcriptic,CRISPR_CEN.PK2_24959,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.289089966630088,False,False,0.999999999995325,6.266805946819832e-22,0.9922916666666668,0.005586052405901842
33,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,c7,UWBF_24959,transcriptic,CRISPR_CEN.PK2_24959,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3689779458840077,False,False,0.9999999999955856,5.919947467108753e-22,0.995125,0.0006020797289396307
34,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,c8,UWBF_24959,transcriptic,CRISPR_CEN.PK2_24959,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3286671419017495,False,False,0.9999999999949628,6.748788095441857e-22,0.99345,0.0022258581366395858
35,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,c9,UWBF_24959,transcriptic,CRISPR_CEN.PK2_24959,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3986957635457824,False,False,0.9999999999940016,8.027291051783463e-22,0.9945833333333334,0.0007431165603202785
36,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,d1,UWBF_32302,transcriptic,CRISPR_CEN.PK2_positive_control_yeVenus_32302,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3078534134043176,False,False,0.9999999999962534,5.0316936219267495e-22,0.963575,0.01980275654212476
37,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,d10,UWBF_24960,transcriptic,CRISPR_CEN.PK2_24960,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,0.034420938984638445,False,False,0.999999999999675,4.7988996328363273e-23,0.8735802411580094,0.0707442746234648
38,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,d11,UWBF_24960,transcriptic,CRISPR_CEN.PK2_24960,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3035200657215282,False,False,0.9999999999954112,6.152038675795936e-22,0.937732258064516,0.11442066397260535
39,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,d12,UWBF_24960,transcriptic,CRISPR_CEN.PK2_24960,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3520564900182364,False,False,0.9999999999960012,5.3672753034432595e-22,0.969701923076923,0.05161575393887932
40,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,d2,UWBF_24864,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,0.034880504459800066,False,False,0.9999999999996622,4.970273038063988e-23,0.873736215139125,0.07543006312759241
41,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,d3,UWBF_24960,transcriptic,CRISPR_CEN.PK2_24960,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3559862548789798,False,False,0.9999999999960584,5.291064019369708e-22,0.9384402439024392,0.11614522414095582
42,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,d4,UWBF_24960,transcriptic,CRISPR_CEN.PK2_24960,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.284558481516138,False,False,0.9999999999955472,5.9712544755133515e-22,0.9765248800959232,0.039522613819454405
43,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,d5,UWBF_24960,transcriptic,CRISPR_CEN.PK2_24960,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3508616985703232,False,False,0.9999999999949132,6.814481907273768e-22,0.9954333333333334,0.001234983880536604
44,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,d6,UWBF_24960,transcriptic,CRISPR_CEN.PK2_24960,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3060728692942825,False,False,0.9999999999958128,5.617990192816388e-22,0.9943083333333332,0.001691235577256348
45,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,d7,UWBF_24960,transcriptic,CRISPR_CEN.PK2_24960,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.32993088202592,False,False,0.9999999999954968,6.038378081958755e-22,0.9954502738171592,0.0012326543810454507
46,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,d8,UWBF_24960,transcriptic,CRISPR_CEN.PK2_24960,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.310781683985074,False,False,0.9999999999961252,5.202291545330144e-22,0.9735126945812056,0.045775453934656235
47,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,d9,UWBF_24960,transcriptic,CRISPR_CEN.PK2_24960,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,0.03441030678084316,False,False,0.9999999999988018,1.6414244111314099e-22,0.8706659655660078,0.0977692370602004
48,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,e1,UWBF_32302,transcriptic,CRISPR_CEN.PK2_positive_control_yeVenus_32302,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3961525641460422,False,False,0.9999999999962378,5.0524741114364435e-22,0.9564,0.027824063659331245
